Evt: 9001, MuPt: 927.887878, MuEta: -0.554047, Met: 555.531372, jetPt: 585.496948, jetEta: -0.624875, DR: 3.015643
Evt: 9002, MuPt: 844.972168, MuEta: -0.581911, Met: 457.242554, jetPt: 697.553650, jetEta: -0.562293, DR: 2.485997
Evt: 9003, MuPt: 698.057129, MuEta: -0.330107, Met: 983.460388, jetPt: 1111.093628, jetEta: -0.310355, DR: 1.985006
Evt: 9004, MuPt: 1170.953613, MuEta: -0.319724, Met: 912.459839, jetPt: 487.660645, jetEta: 0.196146, DR: 2.710276
Evt: 9005, MuPt: 194.665100, MuEta: 0.893452, Met: 694.225769, jetPt: 529.520752, jetEta: -2.061296, DR: 3.000656
Evt: 9006, MuPt: 189.064178, MuEta: 2.024189, Met: 459.011810, jetPt: 895.166199, jetEta: 0.398735, DR: 3.461443
Evt: 9007, MuPt: 673.871887, MuEta: -0.709802, Met: 1463.095093, jetPt: 1248.307617, jetEta: 0.106167, DR: 1.636443
Evt: 9008, MuPt: 953.703186, MuEta: 0.556690, Met: 742.650024, jetPt: 550.661255, jetEta: -0.643998, DR: 2.268549
Evt: 9009, MuPt: 477.093170, MuEta: 0.520537, Met: 2073.988281, jetPt: 2192.941650, jetEta: 0.178869, DR: 1.510203
Evt: 9010, MuPt: 622.072021, MuEta: -0.641171, Met: 545.965576, jetPt: 824.119019, jetEta: 0.613082, DR: 2.604221
Evt: 9011, MuPt: 484.987793, MuEta: 0.128399, Met: 575.629089, jetPt: 1036.713989, jetEta: -0.265037, DR: 2.936808
Evt: 9012, MuPt: 601.245422, MuEta: 0.342350, Met: 891.408508, jetPt: 1153.805054, jetEta: 1.003753, DR: 2.195561
Evt: 9013, MuPt: 392.906555, MuEta: -0.672310, Met: 115.537086, jetPt: 441.862335, jetEta: 1.159778, DR: 3.263886
Evt: 9014, MuPt: 380.393097, MuEta: -0.499672, Met: 932.743958, jetPt: 1476.370483, jetEta: -0.129651, DR: 2.738241
Evt: 9015, MuPt: 609.120422, MuEta: 0.384821, Met: 490.707397, jetPt: 973.719971, jetEta: 0.142678, DR: 2.762361
Evt: 9016, MuPt: 597.322083, MuEta: 0.090278, Met: 333.845276, jetPt: 425.388245, jetEta: -1.810960, DR: 3.208918
Evt: 9017, MuPt: 779.276489, MuEta: -0.511705, Met: 532.173584, jetPt: 477.618225, jetEta: -1.128210, DR: 2.908239
Evt: 9018, MuPt: 467.536896, MuEta: 0.562712, Met: 243.042496, jetPt: 748.240662, jetEta: 1.133471, DR: 3.153972
Evt: 9019, MuPt: 929.220337, MuEta: 0.592582, Met: 498.295868, jetPt: 456.257050, jetEta: -0.394875, DR: 3.250476
