Evt: 9001, MuPt: 927.888, MuEta: -0.554047, Met: 555.531, jetPt: 573.01, jetEta: -0.624875, DR: 3.01564
Evt: 9002, MuPt: 844.972, MuEta: -0.581911, Met: 457.243, jetPt: 687.1, jetEta: -0.562293, DR: 2.486
Evt: 9003, MuPt: 698.057, MuEta: -0.330107, Met: 983.46, jetPt: 1108.29, jetEta: -0.310355, DR: 1.98501
Evt: 9004, MuPt: 1170.95, MuEta: -0.319724, Met: 912.46, jetPt: 416.903, jetEta: 0.196146, DR: 2.71028
Evt: 9005, MuPt: 194.665, MuEta: 0.893452, Met: 694.226, jetPt: 522.437, jetEta: -2.0613, DR: 3.00066
Evt: 9006, MuPt: 189.064, MuEta: 2.02419, Met: 459.012, jetPt: 892.383, jetEta: 0.398735, DR: 3.46144
Evt: 9007, MuPt: 673.872, MuEta: -0.709802, Met: 1463.1, jetPt: 1253.91, jetEta: 0.106167, DR: 1.63644
Evt: 9008, MuPt: 953.703, MuEta: 0.55669, Met: 742.65, jetPt: 545.763, jetEta: -0.643998, DR: 2.26855
Evt: 9009, MuPt: 477.093, MuEta: 0.520537, Met: 2073.99, jetPt: 2175.31, jetEta: 0.178869, DR: 1.5102
Evt: 9010, MuPt: 622.072, MuEta: -0.641171, Met: 545.966, jetPt: 824.132, jetEta: 0.613082, DR: 2.60422
Evt: 9011, MuPt: 484.988, MuEta: 0.128399, Met: 575.629, jetPt: 1026.62, jetEta: -0.265037, DR: 2.93681
Evt: 9012, MuPt: 601.245, MuEta: 0.34235, Met: 891.409, jetPt: 1150.71, jetEta: 1.00375, DR: 2.19556
Evt: 9013, MuPt: 392.907, MuEta: -0.67231, Met: 115.537, jetPt: 441.486, jetEta: 1.15978, DR: 3.26389
Evt: 9014, MuPt: 380.393, MuEta: -0.499672, Met: 932.744, jetPt: 1468.33, jetEta: -0.129651, DR: 2.73824
Evt: 9015, MuPt: 609.12, MuEta: 0.384821, Met: 490.707, jetPt: 970.165, jetEta: 0.142678, DR: 2.76236
Evt: 9016, MuPt: 597.322, MuEta: 0.0902785, Met: 333.845, jetPt: 422.709, jetEta: -1.81096, DR: 3.20892
Evt: 9017, MuPt: 779.276, MuEta: -0.511705, Met: 532.174, jetPt: 424.476, jetEta: -1.12821, DR: 2.90824
Evt: 9018, MuPt: 467.537, MuEta: 0.562712, Met: 243.042, jetPt: 736.899, jetEta: 1.13347, DR: 3.15397
Evt: 9019, MuPt: 929.22, MuEta: 0.592582, Met: 498.296, jetPt: 452.703, jetEta: -0.394875, DR: 3.25048
Evt: 9020, MuPt: 229.081, MuEta: -1.88058, Met: 645.584, jetPt: 519.366, jetEta: 1.03919, DR: 3.094
Evt: 9021, MuPt: 755.724, MuEta: -0.0106434, Met: 962.285, jetPt: 695.305, jetEta: 0.810391, DR: 2.01636
Evt: 9022, MuPt: 773.441, MuEta: -0.00410129, Met: 348.055, jetPt: 777.465, jetEta: -0.0855525, DR: 2.48294
Evt: 9023, MuPt: 347.023, MuEta: -0.805224, Met: 1499.18, jetPt: 1993.38, jetEta: -0.283578, DR: 2.30482
Evt: 9024, MuPt: 759.853, MuEta: -0.0762127, Met: 208.223, jetPt: 554.963, jetEta: 0.525116, DR: 2.85587
Evt: 9026, MuPt: 640.983, MuEta: 0.42994, Met: 680.817, jetPt: 398.517, jetEta: -1.48334, DR: 3.12141
Evt: 9027, MuPt: 1073.1, MuEta: 0.784032, Met: 1041.91, jetPt: 777.324, jetEta: 0.990592, DR: 1.91554
Evt: 9028, MuPt: 170.553, MuEta: 1.14047, Met: 766.043, jetPt: 789.834, jetEta: -1.6731, DR: 3.25278
